,target_down,Label,Score
0,0,0,0.6776
1,1,1,0.6606
2,0,0,0.6693
3,0,0,0.6693
4,1,1,0.6606
5,1,1,0.5479
6,0,1,0.5634
7,1,1,0.5727
8,1,1,0.6231
9,1,0,0.5308
10,1,0,0.5308
11,1,1,0.6367
12,0,0,0.6605
13,1,0,0.5269
14,1,0,0.7861
15,0,0,0.9264
16,1,1,0.8747
17,1,0,0.7883
18,1,0,0.7883
19,1,0,0.7883
20,0,0,0.7883
21,1,0,0.7982
22,1,1,0.6222
23,1,0,0.7982
24,1,0,0.6053
25,1,1,0.6222
26,1,0,0.7883
27,1,0,0.7883
28,0,0,0.869
29,0,0,0.6776
30,1,0,0.7883
31,1,0,0.7883
32,0,0,0.6776
33,1,0,0.6259
34,1,1,0.5638
35,1,0,0.7982
36,0,0,0.869
37,1,0,0.5798
38,1,0,0.7883
39,0,0,0.7883
40,1,0,0.6259
41,0,0,0.8085
42,0,1,0.5484
43,0,0,0.7883
44,1,1,0.541
45,1,0,0.7883
46,0,0,0.7883
47,0,0,0.7982
48,0,1,0.6222
49,0,0,0.7883
50,1,0,0.869
51,0,0,0.7883
52,0,0,0.6776
53,1,0,0.5631
54,0,0,0.761
55,0,1,0.5484
56,0,0,0.7883
57,1,0,0.7883
58,0,1,0.541
59,1,0,0.6053
60,1,0,0.7883
61,1,0,0.6053
62,0,0,0.7883
63,1,0,0.6776
64,1,0,0.7883
65,0,1,0.6276
66,0,0,0.6259
67,1,0,0.6259
68,1,1,0.5638
69,0,1,0.5093
70,1,0,0.6259
71,1,0,0.7883
72,0,1,0.541
73,0,0,0.6259
74,0,0,0.7883
75,0,0,0.7982
76,0,0,0.5631
77,0,0,0.6259
78,0,0,0.5798
79,1,0,0.5798
80,0,1,0.6201
81,1,0,0.6525
82,1,0,0.572
83,0,0,0.5138
84,1,0,0.7883
85,1,0,0.7883
86,1,0,0.7982
87,0,0,0.7883
88,1,0,0.6776
89,0,1,0.6276
90,0,0,0.6259
91,0,0,0.7883
92,0,0,0.6053
93,1,0,0.518
94,0,0,0.7883
95,1,1,0.6276
96,0,0,0.869
97,0,0,0.6776
98,0,0,0.5631
99,1,1,0.5638
100,1,0,0.7883
101,0,0,0.7982
102,1,0,0.6776
103,0,0,0.7883
104,0,1,0.6222
105,0,0,0.6776
106,0,0,0.6053
107,1,0,0.6259
108,0,0,0.5798
109,1,0,0.7831
110,0,0,0.9266
111,1,0,0.6437
112,0,0,0.7883
113,1,0,0.6776
114,1,0,0.6259
115,1,0,0.5798
116,1,0,0.6525
117,0,0,0.572
118,1,0,0.6525
119,1,0,0.8963
120,0,0,0.5138
121,1,0,0.7883
122,0,0,0.7883
123,1,0,0.7883
124,0,0,0.7883
125,0,0,0.6776
126,0,0,0.518
127,0,1,0.541
128,0,0,0.6259
129,0,0,0.5798
130,1,1,0.9268
131,0,0,0.7698
132,1,0,0.7831
133,0,0,0.7883
134,1,0,0.7883
135,0,0,0.7883
136,1,0,0.6776
137,0,0,0.7982
138,0,0,0.7883
139,0,0,0.7982
140,1,0,0.659
141,0,1,0.5957
142,0,0,0.9756
143,0,0,0.6908
144,1,0,0.6908
145,0,1,0.5618
146,0,1,0.5618
147,1,0,0.6908
148,0,0,0.6693
149,0,0,0.6693
150,0,0,0.6693
151,0,0,0.6693
152,1,1,0.5479
153,1,1,0.5634
154,0,0,0.9072
155,1,1,0.9102
156,0,0,0.6693
157,0,1,0.5634
158,0,0,0.6693
159,1,0,0.6693
160,0,1,0.5478
161,0,0,0.5328
162,0,0,0.6693
163,0,0,0.8291
164,0,0,0.6693
165,1,0,0.6693
166,0,1,0.5295
167,0,0,0.8494
168,0,0,0.6693
169,1,1,0.5479
170,0,1,0.5634
171,1,1,0.9102
172,1,1,0.5634
173,0,1,0.5634
174,1,0,0.7527
175,0,1,0.5634
176,1,1,0.5727
177,0,1,0.6231
178,1,0,0.5308
179,0,1,0.571
180,0,0,0.8565
181,1,1,0.7525
182,1,1,0.571
183,0,1,0.5401
184,1,0,0.7534
185,0,1,0.6367
186,0,0,0.7534
187,0,0,0.5269
188,0,0,0.6002
189,0,1,0.5828
190,1,1,0.5057
191,0,1,0.5478
192,0,0,0.6693
193,0,1,0.5478
194,1,1,0.5479
195,0,0,0.5308
